Tweet,Message/tweets,happy_words,sad_words,polarity
1,jimcramer Have him send back the unused one Canada sent to China in January.,,,neutral
2, SwannyQLD Canada has announced  a 75 wage subsidy demonstrating yet again the Governments crashing failure in face of crisis,,"crashing, crisis, failure",negative
3,juliamarblefaun MCAP Bank prime is the biggest scam ever.,,scam,negative
4, TSNSports Episode One of Golf Talk Canada ZeeManGolf and BobWeeksTSN discuss a day in the life covering a golf tournament wha,,,neutral
5, CCeng Receiving texts about COVID19 Be suspicious. Fraudsters are using the COVID19 to scam vulnerable consumers. Be careful and,,"scam, vulnerable",negative
6, picardonhealth A glimmer of hope  PhysicalDistancing has halved spread of COVID19 in B.C. modelling suggests by rhiannaschmunk,glimmer,,positive
7, cityoftoronto The CityofTOs shelter division worked around the clock to open 10 additional sites that provide the 6 ft physical dist,worked,,positive
8,This is lighthouse point is Cape Spear the fartheasterly point in Canada and North America. ,,,neutral
9, SafetyPinDaily Canada attacks damaging Trump plan to deploy troops at border  Via Reuters ,,"attacks, damaging",negative
10, Learning2GetBy Border towns in Canada petrified by possibility of U.S. easing coronavirus measures  National  ,easing,petrified,neutral
11, BanffNP  Parks Canada will no longer be issuing public avalanche bulletins for the remainder of the 2020 spring season. Please stay,,avalanche,negative
12, Kanhehsiio Protect our elders Six Nations building barricades to block outsiders amid COVID19  CBC News ,protect,,positive
13," YukonStrong There ya have it Vancouver you are officially on your own to protect yourself against theft.

And criminals know that.",protect,,positive
14, HarmerDan Now that the Bank of Canada has cut their key interest rate to .25 there is not excuse for banks and credit card companies,,excuse,negative
15,realDonaldTrump Still NOT as good as Canada,good,,positive
16, CBCAlerts More CBCNews Montreal declares state of emergency in effort to contain spread of coronavirus among people living on the st,,emergency,negative
17,realDonaldTrump Better start allocating your pennies for the next one because this isnt over.  Hint see what Canada is doing. Do better. COVID19,better,,positive
18, picardonhealth A glimmer of hope  PhysicalDistancing has halved spread of COVID19 in B.C. modelling suggests by rhiannaschmunk,glimmer,,positive
19, SpencerFernando At literally every step of the way the Liberal government has been weeks  if not months  late in doing what is nece,,,neutral
20," ArmineYalnizyan Summary of todays breathtaking announcements
Small and medium businesses who qualify will get a 75 wage subsidy re","breathtaking, qualify",,positive
21,my first soon to be spring in canada and it going to be indoors ,,,neutral
22,Meghan Markle Prince Harry Left Canada for U.S. Amid Coronavirus ,,,neutral
23,TaxFiler Empowerment Canada applauds federal measures to reduce the tax filing burden on Canadians canrevagency dilebouthillier fsorbara ,empowerment,burden,neutral
24,"Who thinks this c sucker should run western Canada
",,sucker,negative
25, Huerta93Till The real irony is a white guy from Canada saying CG is anti diversity is being retweeted by a Chicano from Los Angeles w,,irony,negative
26, markusoff Coronavirus was found in other guests at their hostel. For these Torontonians Canadas help may have come too late to get t,,,neutral
27,"The City of Calgary has introduced new measures to stop the spread of COVID19. Team sports have been banned. 

Hair and nail salons will be closed as will businesses offering nonessential physiotherapy and massage therapy.

 
yyccc Calgary COVID19AB",,,neutral
28, BanffNP  Parks Canada will no longer be issuing public avalanche bulletins for the remainder of the 2020 spring season. Please stay,,avalanche,negative
29,"BREAKING Canadas pension funds have been in bed with China. cppib OMERSVentures OtppInfo HOOPPnow PensionAB BCPensionCorp CSSPension LaCDPQ espacecdpq cdnecon cdnpoli bcpoli abpoli obpoli canada business economy SPY TLT COVID19 

",,breaking,negative
30, AmarAmarasingam Physical distancing has halved spread of COVID19 in B.C. official modelling shows. ,,,neutral
31," Lumberist Canada in 2020 during Covid

Hospital amp medical staff We are here for our community
Grocery store staff We are here for",,,neutral
32," DebHaslam Trudeau Sent 17 Tons Of Coronavirus Protective Supplies To China  Now Canada Running Low
No worries...Im sure China will",protective,,positive
33, DanTaekema Our focus is to restrict outside visitors from bringing COVID19 into our community says Chief Mark Hill. Its unclear a,,"restrict, unclear",negative
34, charlesrusnell Alberta health minister accused of berating Calgary physician intimidating citizens  CBC News ,,intimidating,negative
35,Why is that every time we elect a Republican we end up getting socialism checks in the mail Its as though theyre really bad at governing.  ,,bad,negative
36," AndFreedoms Debofthenorth IMO it has nothing to do with Canada.
Trump will look tough to his base and he can crow about it.
Im also","tough, trump",,positive
37,davidakin Id like to know if this is a cover for sporting an ankle bracelet  How about some honest investigative journalism for Canada  Can U do it,"honest, like",,positive
38, picardonhealth A glimmer of hope  PhysicalDistancing has halved spread of COVID19 in B.C. modelling suggests by rhiannaschmunk,glimmer,,positive
39, ArleneDickinson Celebrate this fabulous woman jannarden today. Make sure she hears how much she is adored. Its her birthday and we a,"celebrate, fabulous",,positive
40, Booth I think they were bound for LA all along  Prince Harry and Meghan Markle flee coronavirus in Canada for California ,,flee,negative
41," JamesrossrJames 45 becomes Canadas biggest joke

for optics trump plans to place national guards at CanadaUSborders

 Canadians want",trump,joke,neutral
42,"Take a look at this article if you dont know exactly where to start if youve recently moved to Canada to plan to .

Its very helpful when it comes to workrelated stuff



canada workincanada immigrants ",helpful,,positive
43, drewdilkens The U.S. administrations plan to potentially lift vital pandemicrelated restrictions is of grave concern to me as mayor,,concern,negative
44, 99freemind JulieMacCallum2 HowleyReporter And why did they kill Barry amp Honey Sherman of Apotex Apotex is a generic pharmaceutical,,kill,negative
45,looks like US and Canada doing a better job than Europe of flattening curve ,"better, like",,positive
46, people Meghan Markle and Prince Harry Have Left Canada and Are Now Settled in the L.A. Area ,,,neutral
47, alonghurst Great piece by MikePHager AndreaWoo on how forprofit nursing home practices exacerbated COVID19 spread ,great,,positive
48, MrAndyNgo Justin Trudeau authorized the transfer of approximately 17 tons of protective supplies to China... now with the COVID19 v,protective,,positive
49,The real estate frenzy in Canadas biggest markets is headed for a chill as anxiety rises over the economic fallout of the coronavirus. ,,"anxiety, chill, fallout, frenzy",negative
50," dkreative1 Typical Liberal hogwash

Side step deflect and ignore until the hit hits the fan and they deny back track and blame oth",,"blame, deny, ignore",negative
51,Ancient lost continent has been discovered in Northern Canada   ,,lost,negative
52, shmitzysays While the world needs doctors like never before the Health Minister of Alberta goes to their houses to yell and cry about,like,cry,neutral
53, EfficiencyCAN  COVID19 Part 2 Energy efficiencys role in Canadas economic recovery.  ,,,neutral
54, joececiyyc Lets be clear about what happened shandro saw a doctor post a meme that he didnt like. Instead of focusing on COVID19,clear,,positive
55, vmochama we got played ,,,neutral
56, CBCNS Why cant we play with our friends Nova Scotias top doctor answers kids COVID19 questions  ,top,,positive
57, 22Minutes Harry and Meghan have left Canada and moved to California which means the only Canadian royalty left is Eugene Levy and Ca,,,neutral
58, MarkOkanagan Canada has experienced 40 deaths in the 2 months since we recorded our first case... more people have likely died from th,,died,negative
59, MrAndyNgo Justin Trudeau authorized the transfer of approximately 17 tons of protective supplies to China... now with the COVID19 v,protective,,positive
60, nataleighb A few years ago at one of my favourite places to work jacanada we built an online game Thanks for the reminder stephenl,work,,positive
61, BlaineLangdon Finance Canadas new interest free loan program for businesses will also be available to notforprofits. canadianchari,"available, free",,positive
62,"danwootton ....have fled Canada to escape the coronavirus pandemic...... 
Really 

Id rather live in a secluded mansion near Sidney Vancouver Island than in LA where theres a Covid19 surge right now....",right,,positive
63," mcspocky Americans not welcome due to virus say Mexicans.

Mexican protesters shut a US southern border crossing amid fears that unte",,"fears, virus",negative
64, CBCLondon Amid a critical shortage Londons pandemic ventilator inventor makes his design open source  ,,"critical, shortage",negative
65, dothedaniel Can someone please tell that one journalist yelling like a child during the JustinTrudeau press conference to be quiet or,"like, quiet",,positive
66, danwootton The Duke and Duchess of Sussex have left the 10.7million mansion they were borrowing in Vancouver and will set up a new ho,,,neutral
67, CanadensisMax Dear American neighbours your President is a fucking nut.  Love Canada.,love,fucking,neutral
68, yangsunys57f My new dataviz and datascience project is online now a dashboard tracking COVID19 in Canada in realtime. The app wa,,,neutral
69,Come on Canada residents Home isolate amp quarantine yourself  Get your shit together and STAY HOME ,,"isolate, shit",negative
70," worldwarbot January 2020 United States of America conquered Canada territory.
Canada has been completely defeated.
208 countries rema",,,neutral
71, gmbutts Canada is not perfect. No place is. But gee whiz its reassuring to see political leaders of different parties put politics as,,,neutral
72," surveilz This from CTV who between January and mid March kept downplaying this virus to cover for Trudeaus inaction.

It isnt lost",,"lost, virus",negative
73, DiabetesCanada Now more than ever people affected by diabetes need the information connection advocacy and inspiration we at Diabe,inspiration,,positive
74, MarcMillerVM Canada recognizes the health risks of holding elections during the COVID19 pandemic.  We therefore recommend that First,recommend,risks,neutral
75, alonghurst Great piece by MikePHager AndreaWoo on how forprofit nursing home practices exacerbated COVID19 spread ,great,,positive
76,Joe72947147 Nydd MikelJollett BernieSanders Im not going to pretend to be an expert on USA budgets. But I do know that the current healthcare system down there is awful. Healthcare should be a human right. Most developed countries have done it. Im thankful I have it in Canada. Im scared for my American friends.,,"pretend, scared",negative
77,tanamongeau need help paying off my parents cc debt my parents are out of work indefinitely im in canada my etransfer email is johalpuneetoutlook.com,work,debt,neutral
78," FilomenaTassi What is social distancing

 avoid crowded places and nonessential gatherings
 avoid greetings such as handshakes
 a",,crowded,negative
79,"Your ESPN960 Starting Lineup

CoHost  cjenser33 

405  CoachCleve22 

430  DarnellWrites 

505  rakoto10 

530  talemfranco 

545  SquallyCanada 

BYU GoCougs BYUFootball ESPN960 CriddleBenjamin MillerHHunter ",,,neutral
80,nipsofanangel Orville Peck is a gay country singing punk boy from Canada. Diplo is... well he makes music to twerk to. I d k what else to say,well,punk,neutral
81," Bank of Canada cuts rates a third time in one month
According to the bank rates are now at ROCK BOTTOM.
.

COVID19 vanre tore VancouverHomes Torontohomes ottawahomes CalgaryHomes Montrealhomes EdmontonHomes ",,,neutral
82, JohnTheFame Americans watching Canada and Europe take care of their citizens during the pandemic ,,,neutral
83, CanadensisMax Dear American neighbours your President is a fucking nut.  Love Canada.,love,fucking,neutral
84," worldwarbot January 2020 United States of America conquered Canada territory.
Canada has been completely defeated.
208 countries rema",,,neutral
85," CBCNL NEW  Food banks are in for a rough ride but 500K pledge from province is big help



cbcnl covid19nf",,rough,negative
86, danwootton EXCLUSIVE Prince Harry and Meghan have fled Canada to escape the coronavirus pandemic and moved permanently to California,,,neutral
87,"AndrewScheer You will get a lot of negative comments from Liberal Sheeple I bet.  But let them consider if it was not for CPC Trudeau would have received dictatorship powers and full control of spending and tax increases till 2021. Canada would be screwed further.

Thank you AndrewScheer",,"negative, screwed",negative
88,CovidEquity RitikaGoelTO Desperate for individual doctors in Ontario to start following the Health Canada safe supply guidelines since the chances of the College endorsing it when they wont even endorse the new OST guidelines seems to me to be roughly nil. Im so happy for BC though. Holy shit,"endorse, endorsing, happy, holy, safe",,positive
89, BillAlberta After Trudeaus how dare you speach there still isnt any screening at airports.  ,,,neutral
90, fallsconvenienc Come out and play human RobinRedBreast Spring SocialDistancing InThisTogether NiagaraFalls Canada ,,,neutral
91, bdcca Backed by BDC and EDC the new program will help Canadas financial institutions provide 40B in additional credit to entrepre,,,neutral
92," CountFloyd2020 Stick a fork in this bastard.  Shandros done.
Alberta Health Minister Tyler Shandro and his wife are accused of berat",,,neutral
93, stillgray Coronavirus Mexicans demand crackdown on Americans crossing the border.  ,,,neutral
94,LaurenC83774242 hotcupid0 Oh really mery relatives bh Canada me hain,,,neutral
95, JustinTrudeau We are implementing the Quarantine Act to keep all Canadians safe. So let me be clear If you do not go home and stay ho,clear,,positive
96, Goodable BREAKING  Canada has announced the government will now pay 75 of employee wages for qualifying small and mediumsized Canad,,breaking,negative
97, danwootton EXCLUSIVE Prince Harry and Meghan have fled Canada to escape the coronavirus pandemic and moved permanently to California,,,neutral
98, itsreallyalexb There are NO Canadian migrants trying to sneak across the USA border. Yet Trump uses the COVID19 crisis to further his,,"crisis, sneak",negative
99,RealGM Back to Canada home of the Grizzlies.,,,neutral
100,only been back 2 months but i miss canada so much and im devastated i wont make it back in june as planned thanks corona but then itll just have to be 2021 im not letting it take 4 years ever again ,,"devastated, miss",negative
101,me at canadas closed borders ,,,neutral
102, ezralevant Why cant you find a mask to wear For two months China had its expats around the world buy up protective gear in bulk an,protective,,positive
103, ISSPuOttawa In troubling times sound and timely science advice matters. Canada has been fortunate to have a public that largely tru,"fortunate, timely",,positive
104, DiabetesCanada Unfortunately given these difficult circumstances Diabetes Canada must temporarily lay off a significant portion of i,,"difficult, unfortunately",negative
105,"Greg Baffone is inviting you to a scheduled Zoom meeting.

Topic GREGGOs 25th BDAY SHOT RAGER
Time Mar 27 2020 0830 PM Central Time US and Canada

Join Zoom Meeting


Meeting ID 294 442 382",,mar,negative
106, chrisshipitv If true and danwootton has been right before I cant help but think Canada would be a safer place to be than the US c,right,,positive
107," DrJacobsRad The people of Canada thank this unnamed doctor. The nation is grateful.

Cdnpoli COVID19",thank,,positive
108, GoodGuyLoki Guys look. I came out as trans.,,,neutral
109, chrisshipitv If true and danwootton has been right before I cant help but think Canada would be a safer place to be than the US c,right,,positive
110,"POTUS This is really disturbing. Why would you do such a thing Kindly help in understanding. BruceAHeyman
",kindly,,positive
111,FO Second project of being told to not leave our houses in Ontario Canada  Im so happy with how it turned out ,happy,,positive
112, JFGCanada Canadas subsequent failure to take urgent steps to end genocide now puts Indigenous women and girls at higher risk of infe,,"failure, genocide, risk, urgent",negative
113,"Jkenney your silence speaks volumes Shandemic shandromustgo  abpoli ableg 

",,,neutral
114,"Cohen Why Canadas response to COVID19 is so different from that of the U.S..  
Proud to be a Canadian 
staysafe StayIndoors SocialDistancing 
FlattenTheCurve",proud,,positive
115, ezralevant Why cant you find a mask to wear For two months China had its expats around the world buy up protective gear in bulk an,protective,,positive
116, pnwkate Young bald eagle practising SocialDistancing on a logging post in the fraserriver richmondbc richmondmoments birds wildl,,,neutral
117,Eat meals with others. Enjoying healthy foods with family friends neighbours or coworkers is a great way to connect and add enjoyment to your life. It can provide many benefits and contribute to a healthy lifestyle.  NutritionMonth MoreThanFood ,"benefits, enjoying, enjoyment, great, healthy",,positive
118, hollyanndoan Fed judge urges CanBorder to release a convicted carjacker twice ordered deported from Canada for violent crimes. Says i,,violent,negative
119,"reicurran caffenefiend this shouldnt happen  Canada has permanent swaplines with the Federal Reserve it can just swipe US dollars and soak up its market weaknesses.

this would mean that as in an emergency if Canada cant run out of USD it cannot have a run on CAD govt debt.",,"emergency, swipe",negative
120, FarJan84136340 Reza Emadi Allahyari an interrogator of Master Taheri during his imprisonment in Evin Prison is threatening him to d,,"imprisonment, prison, threatening",negative
121,Canada got 2 stars that control the US music scene whenever they drop ,,,neutral
122, HenrySwan13 Its weirdly quiet on the mere these days apart from those pesky Canada Geese. No swimmers to attack no paddle boards t,,"attack, weirdly",negative
123, Dcl60 Coronavirus Mexicans demand crackdown on Americans crossing the border  BBC News ,,,neutral
124, DiabetesCanada The COVID19 pandemic has brought unprecedented challenges for all Canadians. The new economic reality significantly li,,,neutral
125, kieranleavitt Full story. Still no word from the minister or his ministry or the premier. Nor have many government staffers been out d,,,neutral
126, zeonjade fentybeauty my BEST FRIEND was suppose to do your master class in May but because of the virus she doesnt know if she is goi,"best, master",,positive
127, GovCanHealth Everyone has a role to play to protect the health and safety of Canadians from COVID19. Simple actions like washing you,"like, protect",,positive
128,Harry And Meghan Are Leaving Canada  ,,,neutral
129, MerlinofCanada Alberta is poised to suffer the largest economic decline in Canada this yearandthemost severe that the province h,,"decline, severe, suffer",negative
130,RussDiabo Good we need to keep building infastruture projects in this country to be able to get Canadas economy back up and running when this virus is reduced.,good,virus,neutral
131,EmmasBugsBunny nosilenced I thought we closed the Canadian border They think CA is safer than Canada,,,neutral
132," btsotc MOTS 7 has achieved 21 1s on Official Charts
1 US
1 Japan
1 UK
1 Germany
1 France
1 Korea
1 Australia
1 Spain
1 Can",,,neutral
133, AndrewTreusch For people worried about getting their Emergency Benefit payment as soon as possible set up a direct deposit with the C,,"emergency, worried",negative
134, BloombergCA Italy reports its highest number of deaths from the coronavirus even as the number of new cases declines ,,declines,negative
135, CFIB Should government employees who cannot work be paid their full salary or be required to use Employment Insurance or the Canada Em,work,,positive
136, JohnTory Thank you to Prime Minister JustinTrudeau and the Government of Canada for listening to concerns of employers and helping to,"helping, thank",,positive
137, stephenlautens Trump administration drops plans to send U.S. military forces to the Canadian border.  cdnpoli,trump,,positive
138, CBCLondon Amid a critical shortage Londons pandemic ventilator inventor makes his design open source  ,,"critical, shortage",negative
139, ChaskaDaisy US Space Force launches satellite after short delay  BBC News ,,delay,negative
140, environmentca  Canadas national wildlife areas and migratory bird sanctuaries are closed until further notice. We ask visitors to ,,,neutral
141,Celebrate CanadianMusic with Rebel Place To Be by Durham County Band on PopCanRebel at  for Canadas Best Country amp More,"best, celebrate",,positive
142,"Trump expected to send U.S. troops to Canada border to support operations amid coronavirus crisis.
Pentagon would send less than 1000 troops to the U.S. northern border to support U.S. Customs and Border Protection efforts and several additional hundr...
","protection, support, trump",,positive
143,Were excited to announce the expansion of our Sampler Packs Whether you prefer High VG eliquid Nic Salts or you just want to stay uptodate with new CV flavours we have a Sampler Pack for you Check them out today  canadavapes eliquid ,"excited, prefer",,positive
144, NightShiftMD See. It works. Physical distancing has halved spread of COVID19 in B.C. official modelling suggests  CBC News ,,,neutral
145, sobeys To grocery workers across Canada and the world we thank you. In these uncertain times we are grateful we can depend on your s,"grateful, thank",,positive
146, Kirky861 EvanLSolomon They also need to send reparations for the damages the CCP has done financially to Canada and the worlds econom,,damages,negative
147,"Our latest report advocating freedom of movement amp trade between Canada Australia NewZealand amp the UK has been submitted to all MPs in the Canadian parliament.
Write them an email today and request their support for CANZUK 

","freedom, support",,positive
148, YYCBoarder DurBabushky vanqouver Delta56ca Sheila11415407 BillAlberta KieserBill JustinTrudeau althiaraj RosieBarton 6831Bry,,,neutral
149,"Create a window art gallery is a great project for children and a way to put a smile on someones face



GetCreative","great, smile",,positive
150, TimHortons Our coffee trucks are out across Canada serving free coffee and baked goods to those who serve our communities. Its a smal,free,,positive
151,Accused Mexican money launderer loses bid for refugee status in Canada  ,,loses,negative
152,CBCAlerts Meanwhile in Canada what is Trudeau doing,,,neutral
153," worldwarbot January 2020 United States of America conquered Canada territory.
Canada has been completely defeated.
208 countries rema",,,neutral
154,"Let us handle catering Call us today at
6137663373
Houseofdonair Canada Donairmeat 505PrincessSt ",,,neutral
155, MarcPatrone To refresh your memory as junior attempts a power grab under the pretext of protecting Canadians from the pandemic. It w,refresh,,positive
156, JustinTrudeau We are implementing the Quarantine Act to keep all Canadians safe. So let me be clear If you do not go home and stay ho,clear,,positive
157," mcspocky Most adult Americans will be getting a one time payment of 1200 because of the COVID19 crisis.

But Canada will pay CAN2",,,neutral
158,"Brand new JUNGKOOK OCEAN BTSxVT LatelierdesSubtils Eau de Toilette amp photo cards
 130CAD wTRACKED shipping
 115CADmeet up
Toronto CANADA
DM for inquiries
CADPayPal
BTS  BTSTour2020 BTSinCANADA   JK VTCosmetics ARMY ARMYMissesBTS ",,,neutral
159,Canada calls on US to ditch plans to deploy troops at border  via Yahoo,,,neutral
160, kieranleavitt Full story. Still no word from the minister or his ministry or the premier. Nor have many government staffers been out d,,,neutral
161," SecondCityCop Huh.....

BBC News  Coronavirus Mexicans demand crackdown on Americans crossing the border ",,,neutral
162, mayorofsarnia Darkness tests stars but they shine. Storms test trees but they stand. Adversity tests the great but they soar.,,"adversity, darkness",negative
163,Extra 30 Off All Bogs Clearance Items  Use Code EXTRA30. Offer good 3202020 thru 3312020 at BOGS Footwear Canada Beautifully Tough Seamless Technology  30 Lighter 100 Tougher  4way stretch 100 waterproof ad affiliate ,"beautifully, good, lighter, seamless, tough, tougher",,positive
164, joannachiu Officials cautiously optimistic that measures in place to keep space between people are working to stem the spread of CO,optimistic,,positive
165, charlesrusnell Alberta health minister accused of berating Calgary physician intimidating citizens  CBC News ,,intimidating,negative
166, BanffNP  Parks Canada will no longer be issuing public avalanche bulletins for the remainder of the 2020 spring season. Please stay,,avalanche,negative
167,CBCNews Is there backward Canada has that tech to use cell phone to locate the infected,,"backward, infected",negative
168, CBCNews Takaya a wolf that lived alone for years on a tiny island near Victoria B.C. was shot and killed by a hunter this week.http,,killed,negative
169, MrAndyNgo A McDonalds employee in Ontario Canada has been charged with fraud after she allegedly faked a doctors note about having,,fraud,negative
170,Kddid15 V4DeadManWalkin ScottHallman VoiceOfFranky lots of stupid people replying and liking. to put it simply half of americans think trump is doing good job. nothing to do with math. it has to do with stupidity. canada too was late at doing anything about this epidemic. but lots of stupid people like the response it appears,"good, like, trump",,positive
171, TorontoStar Breaking Toronto confirms 457 cases of COVID19 with 118 more cases than yesterday. We are seeing a significant increa,significant,breaking,neutral
172,RoyalCaribbean whats going on with the Oasis sailing on 21Jun2020 from Bayonne  Was supposed to go to Canada but with the closing of the ports in Canada per your PR Im unsure of the status.  I still see this listed for sale online as a Canadian cruise.  Are ports changing,oasis,unsure,neutral
173, NightShiftMD See. It works. Physical distancing has halved spread of COVID19 in B.C. official modelling suggests  CBC News ,,,neutral
174, CFHSvcs A Govt of Canada COVID19 selfassessment tool is now available. I encourage anyone experiencing symptoms or who have concern,,"concern, symptoms",negative
175, ezralevant Why cant you find a mask to wear For two months China had its expats around the world buy up protective gear in bulk an,protective,,positive
176,DavidDobrik I dont have a cashapp or Venmo because I live in Canada this sucks ,,sucks,negative
177," YukonStrong If you think this cant happen in Canada ask yourself

A month ago when the virus was only in China did you think Canad",,virus,negative
178, JohnTheFame Americans watching Canada and Europe take care of their citizens during the pandemic ,,,neutral
179, andrewphung As an Albertan and someone who once called you a friend Im very disappointed in your behaviour shandro. You are an ele,,disappointed,negative
180," DebHaslam Trudeau Sent 17 Tons Of Coronavirus Protective Supplies To China  Now Canada Running Low
No worries...Im sure China will",protective,,positive
181," DrJacobsRad Please continue to social distance yourselves. We do not want to test the capacity of our ICU infrastructure.

No country",,,neutral
182,Competition Bureau has concluded that Air Canadas proposed acquisition of Transat is likely to result in a substantial lessening or prevention of competition in the sale of air travel or vacation packages to Canadians. ,,,neutral
183," BBCWorld Mexicans demand crackdown on Americans crossing the border 

",,,neutral
184,cangal21 Glad hes well,"glad, well",,positive
185,"Bless this man.   
FrontLineHeroes TrumpVirus TrumpLiesAmericansDie

Amid a critical shortage pandemic ventilator inventor makes his design open source.  ",,"critical, shortage",negative
186," NancyCrouse I am in Ontario and I just received an alert on my cell phone. CIVIL EMERGENCY ALE. 
All people returning to Canada mus",,emergency,negative
187,"pittmangeorge Did you know there are more than 1000 islands in New YorkCanadas Thousand Islands region

There are over 1800..",,,neutral
188,danwootton these replies r so weird why do americans hate royals lol theyre loved in canada,,"hate, weird",negative
189,ruthmkb Disbanding this group of crooks would do wonders for Canada,wonders,crooks,neutral
190,"In celebration of Nike Air Max Day 2020 weve teamed up with 10 of the top industrial designers in Canada to anticipate the Nike Air Max 2090.
In light of recent events the art is now showcased online at  through an interactive 360 degree presentation. ","celebration, top",,positive
191,SHARXGIRL its pathetic....meanwhile in canada they are paying people for the next 4 months,,,neutral
192,gevus1 bankofcanada National Bank of canada maybe its just people with variable rates already with them,,,neutral
193,"christufton 
Not sure if this can help maybe someone qualified can take a look. 
",qualified,,positive
194, CanadensisMax Dear American neighbours your President is a fucking nut.  Love Canada.,love,fucking,neutral
195,"Horrified in Canada by killing of Marco Rivadeneira Carlota Salinas amp at least 6 other social leaders this week alone in Colombia as protections reduced amp risk increases. IvanDuque measures vs COVID19 cannot be an excuse to neglect protection of HRDs
 ",,"excuse, horrified, killing, neglect, risk",negative
196,Their traditions go back millennia but COVID19 is forcing change upon churches mosques and synagogues across Ottawa. Friday prayers shivas and christenings are among the sacred events getting a modernday makeover thanks to the coronavirus.  CBC ,,,neutral
197,"TransCanadaBeer just got our beer no contact delivered today for the weekend. And swag inside ta boot
More of Canadas everyday heros. ",,,neutral
198, CanisAzureus LegendaryEnergy My black literature professor told me white people will never understand black literature so I left,,,neutral
199,Stay strong world Stay home stay inside do a puzzle use your imagination to travel 3dpuzzle puzzle cntower canada ontario toronto education flattenthecurve isolation quarantine montreal jouetsloltoys toystore ,strong,isolation,neutral
200,"SupMegBaseball Shucks they hope so

They should be. I ear their bats have a lot of pop.",,,neutral
