Positive and negative words,Polarity
crashing,negative
crisis,negative
failure,negative
scam,negative
scam,negative
vulnerable,negative
glimmer,positive
worked,positive
trump,positive
attacks,negative
damaging,negative
easing,positive
petrified,negative
avalanche,negative
protect,positive
protect,positive
excuse,negative
good,positive
emergency,negative
better,positive
glimmer,positive
breathtaking,positive
qualify,positive
empowerment,positive
burden,negative
sucker,negative
irony,negative
avalanche,negative
breaking,negative
protective,positive
restrict,negative
unclear,negative
intimidating,negative
bad,negative
tough,positive
trump,positive
honest,positive
like,positive
glimmer,positive
celebrate,positive
fabulous,positive
flee,negative
trump,positive
joke,negative
helpful,positive
concern,negative
kill,negative
better,positive
like,positive
great,positive
protective,positive
anxiety,negative
chill,negative
fallout,negative
frenzy,negative
blame,negative
deny,negative
ignore,negative
lost,negative
like,positive
cry,negative
clear,positive
top,positive
died,negative
protective,positive
work,positive
available,positive
free,positive
right,positive
welcome,positive
fears,negative
virus,negative
critical,negative
shortage,negative
like,positive
quiet,positive
love,positive
fucking,negative
isolate,negative
shit,negative
lost,negative
virus,negative
inspiration,positive
recommend,positive
risks,negative
great,positive
thankful,positive
pretend,negative
scared,negative
work,positive
debt,negative
crowded,negative
well,positive
punk,negative
love,positive
fucking,negative
rough,negative
thank,positive
negative,negative
screwed,negative
endorse,positive
endorsing,positive
happy,positive
holy,positive
safe,positive
desperate,negative
shit,negative
clear,positive
breaking,negative
trump,positive
crisis,negative
sneak,negative
devastated,negative
miss,negative
protective,positive
fortunate,positive
timely,positive
troubling,negative
significant,positive
difficult,negative
unfortunately,negative
mar,negative
right,positive
thank,positive
right,positive
kindly,positive
happy,positive
failure,negative
genocide,negative
risk,negative
urgent,negative
proud,positive
protective,positive
benefits,positive
enjoying,positive
enjoyment,positive
great,positive
healthy,positive
violent,negative
emergency,negative
swipe,negative
master,positive
imprisonment,negative
prison,negative
threatening,negative
quiet,positive
attack,negative
weirdly,negative
best,positive
master,positive
virus,negative
like,positive
protect,positive
poised,positive
decline,negative
severe,negative
suffer,negative
good,positive
virus,negative
benefit,positive
emergency,negative
worried,negative
declines,negative
work,positive
helping,positive
thank,positive
concerns,negative
trump,positive
critical,negative
shortage,negative
delay,negative
best,positive
celebrate,positive
protection,positive
support,positive
trump,positive
excited,positive
prefer,positive
grateful,positive
thank,positive
uncertain,negative
damages,negative
freedom,positive
support,positive
great,positive
smile,positive
free,positive
loses,negative
